"","hlas","rs"
"1",A0101,0.719626474011719
"2",A3301,0.820095344196981
"3",B4403,0.326966352661016
"4",B5401,0.855982845200746
"5",B0801,0.752195789528065
"6",B5101,0.705718507491745
"7",A3002,0.381434139892887
"8",A3001,0.166486896208262
"9",A0301,0.614274871555406
"10",A1101,0.725750009372797
"11",A3201,0.621547143590201
"12",B5801,0.389733977577847
"13",B3501,0.397525097167654
"14",A6802,0.833845045225408
"15",A6801,0.728538423984765
"16",B0702,0.321515150601163
"17",A3101,0.862765065778738
"18",B5301,0.615940244228687
"19",B5701,0.439421851781003
"20",A0203,0.427485040954438
"21",A0202,0.433352479584699
"22",A0201,0.623594521110501
"23",A0206,0.602182242891552
"24",A2902,0.658848900833847
"25",A0205,0.480417482229848
"26",B3801,0.023350897786216
"27",B2705,0.175371164231428
"28",B1501,0.0149246987317967
"29",A2402,0.548401634988427
