"Allele"	"VUS"	"Se"
A0101	0.8731	0.8
A0201	0.621	0.875
A0202	NA	0.8481
A0203	NA	0.96
A0205	NA	NaN
A0206	NA	0.8776
A0301	0.7089	0.5238
A1101	0.7062	0.5763
A2402	0.6482	0.3889
A2902	NA	0.7222
A3001	NA	0.9595
A3002	0.4905	0.55
A3101	NA	0.8684
A3201	NA	1
A3301	NA	0.7143
A6801	0.6767	0.8158
A6802	NA	0.8406
B0702	0.529	0.5625
B0801	0.9922	1
B1501	NA	0.75
B1503	NA	1
B2704	NA	NaN
B2705	NULL	NULL
B2706	NA	NaN
B3501	0.6359	0.9286
B3801	0.3884	0
B4403	0.5455	0.5
B5101	NA	0.75
B5301	NA	0.8667
B5401	0.8898	0.8333
B5701	0.4381	0.5
B5801	NA	0.5
