"Allele"	"VUS"	"Se"
A0101	0.751	0.6818
A0201	0.3882	0.6256
A0202	0.4855	0.4286
A0203	NA	0.8182
A0205	NA	0.4
A0206	0.496	0.8
A0301	0.3054	0.6596
A1101	0.5837	0.75
A2402	NA	0.6585
A2902	NA	0.7241
A3001	NA	0.5
A3002	NA	0.8158
A3101	NA	0.4211
A3201	NA	1
A3301	NA	1
A6801	0.4344	0.9211
A6802	NA	0.9365
B0702	0.531	0.2329
B0801	NA	0.75
B1501	NA	0
B1503	NA	NaN
B2704	NULL	NULL
B2705	NA	0.05217
B2706	NULL	NULL
B3501	0.6181	0.4304
B3801	0.3831	0.8679
B4403	NA	0.3433
B5101	NA	0.4375
B5301	NA	0.2959
B5401	0.7165	0.9583
B5701	0.3853	0.375
B5801	0.3259	0.72
