"Allele"	"VUS"	"Se"
A0101	0.8848	0.6
A0201	0.5858	0.8516
A0202	0.5937	0.9194
A0203	NA	0.9247
A0205	NULL	NULL
A0206	0.7112	0.8772
A0301	0.5383	0.4286
A1101	0.6664	0.6316
A2402	0.6089	0.2778
A2902	NA	0.5
A3001	NA	0.8784
A3002	0.463	0.3
A3101	NA	0.8333
A3201	NA	0.9167
A3301	NA	0.5714
A6801	0.7773	0.8919
A6802	NA	0.7857
B0702	0.5061	0.4375
B0801	NA	0.7241
B1501	NA	0.6875
B1503	NA	1
B2704	NULL	NULL
B2705	NA	0.5
B2706	NULL	NULL
B3501	0.7912	0.9286
B3801	0.2495	0
B4403	0.7416	0.5
B5101	NA	0.25
B5301	NA	0.5333
B5401	0.8331	0.6667
B5701	0.4839	0.625
B5801	0.471	0.5714
