"Allele"	"VUS"	"Se"
A0101	0.6743	0.75
A0201	0.4698	0.8276
A0202	0.5629	0.8571
A0203	NA	0.8636
A0205	NULL	NULL
A0206	0.6645	1
A0301	0.2853	0.8085
A1101	0.6062	0.8214
A2402	NA	0.8537
A2902	NA	0.931
A3001	NA	1
A3002	0.2919	0.9737
A3101	NA	0.9737
A3201	NA	1
A3301	NA	1
A6801	0.5633	1
A6802	NA	1
B0702	0.4331	0.5205
B0801	NA	0.875
B1501	NA	0
B1503	NA	NaN
B2704	NULL	NULL
B2705	NA	0.4174
B2706	NULL	NULL
B3501	0.5632	0.6962
B3801	0.3993	0.9434
B4403	NA	0.4478
B5101	NA	0.6875
B5301	NA	0.7449
B5401	NA	1
B5701	0.4313	0.4583
B5801	0.3527	0.88
