"Allele"	"VUS"	"Se"
A0101	0.6712	0.8864
A0201	0.4598	0.8424
A0202	0.6094	0.8571
A0203	NA	0.9545
A0205	NA	1
A0206	0.7133	0.8
A0301	0.3468	0.8723
A1101	0.6448	0.8929
A2402	NA	0.878
A2902	NA	0.931
A3001	NA	1
A3002	NA	1
A3101	NA	0.7895
A3201	NA	1
A3301	NA	0.76
A6801	0.5657	0.9737
A6802	NA	1
B0702	0.5519	0.5479
B0801	NA	1
B1501	NA	0
B1503	NA	NaN
B2704	NA	0.2333
B2705	0.3014	0.3913
B2706	NA	0.56
B3501	0.5149	0.7342
B3801	0.3935	0.9057
B4403	NA	0.6716
B5101	NA	0.7188
B5301	NA	0.7143
B5401	0.7202	1
B5701	0.5132	0.6875
B5801	0.3611	0.88
