"Allele"	"VUS"	"Se"
A0101	0.8491	0
A0201	0.5803	0.7747
A0202	0.6598	0.8871
A0203	NA	0.871
A0205	NULL	NULL
A0206	0.788	0.8246
A0301	0.536	0.2381
A1101	0.6478	0.5789
A2402	0.6095	0.1667
A2902	NA	0.3889
A3001	NA	0.7973
A3002	0.4549	0.15
A3101	NA	0.8056
A3201	NA	0.8611
A3301	NA	0.5714
A6801	0.7587	0.8649
A6802	NA	0.6429
B0702	0.4858	0.375
B0801	NA	0.4483
B1501	NA	0.5
B1503	NA	0.9861
B2704	NULL	NULL
B2705	NA	0
B2706	NULL	NULL
B3501	0.7428	0.7857
B3801	0.2404	0
B4403	0.7597	0.5
B5101	NA	0
B5301	NA	0.3333
B5401	0.6799	0.5833
B5701	0.4336	0.5
B5801	0.4837	0.5714
