"Allele"	"VUS"	"Se"
A0101	0.6915	0.8636
A0201	0.4784	0.8473
A0202	0.6	0.8571
A0203	NA	0.9091
A0205	NULL	NULL
A0206	0.7579	1
A0301	0.2685	0.8723
A1101	0.6034	0.8571
A2402	NA	0.878
A2902	NA	0.9655
A3001	NA	1
A3002	0.3631	0.9737
A3101	NA	1
A3201	NA	1
A3301	NA	1
A6801	0.5994	0.9737
A6802	NA	1
B0702	0.43	0.5205
B0801	NA	0.875
B1501	NA	0
B1503	NA	NaN
B2704	NULL	NULL
B2705	NA	0.4435
B2706	NULL	NULL
B3501	0.6702	0.7215
B3801	0.3906	1
B4403	NA	0.5522
B5101	NA	0.6875
B5301	NA	0.7857
B5401	NA	1
B5701	0.4505	0.6042
B5801	0.2872	0.88
