"Allele"	"VUS"	"Se"
A0101	0.8795	0
A0201	0.5898	0.7857
A0202	0.6593	0.8871
A0203	NA	0.8817
A0205	NULL	NULL
A0206	0.7772	0.8246
A0301	0.5427	0.2857
A1101	0.6536	0.5965
A2402	0.6077	0.2222
A2902	NA	0.3333
A3001	NA	0.7703
A3002	0.4382	0.15
A3101	NA	0.8333
A3201	NA	0.8889
A3301	NA	0.5714
A6801	0.7756	0.9189
A6802	NA	0.6429
B0702	0.5106	0.375
B0801	NA	0.3793
B1501	NA	0.4688
B1503	NA	0.9861
B2704	NULL	NULL
B2705	NA	0
B2706	NULL	NULL
B3501	0.7229	0.8571
B3801	0.1916	0
B4403	0.6856	0.5
B5101	NA	0
B5301	NA	0.4667
B5401	0.6723	0.5
B5701	0.4299	0.375
B5801	0.5055	0.5714
