"Allele"	"VUS"	"Se"
A0101	0.688	0.8409
A0201	0.4811	0.8424
A0202	0.5967	0.8571
A0203	NA	0.9091
A0205	NULL	NULL
A0206	0.7617	1
A0301	0.2813	0.8723
A1101	0.6127	0.8571
A2402	NA	0.8537
A2902	NA	0.931
A3001	NA	1
A3002	0.3343	0.9737
A3101	NA	1
A3201	NA	1
A3301	NA	1
A6801	0.5747	1
A6802	NA	1
B0702	0.499	0.5068
B0801	NA	0.875
B1501	NA	0
B1503	NA	NaN
B2704	NULL	NULL
B2705	NA	0.4522
B2706	NULL	NULL
B3501	0.6776	0.7342
B3801	0.3597	0.9811
B4403	NA	0.597
B5101	NA	0.7812
B5301	NA	0.7143
B5401	NA	1
B5701	0.4593	0.5625
B5801	0.3742	0.88
