transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
uc001aaa.3	1	1652	1509.43	4.64	0.04	0.05	17.37
uc010nxq.1	1	1488	1345.43	0.00	0.00	0.00	0.00
uc010nxr.1	1	1595	1452.43	21.27	0.19	0.24	82.63
uc021oei.1	10	894	751.43	43.97	0.77	0.97	100.00
uc001ajc.3	100	2248	2105.43	13.00	0.08	0.10	100.00
uc021oon.1	1000	78	0.00	0.00	0.00	0.00	0.00
uc002azu.1	10000	31	0.00	0.00	0.00	0.00	0.00
uc010ulz.1	10001	28	0.00	0.00	0.00	0.00	0.00
uc010uma.2	10002	3449	3306.43	1.93	0.01	0.01	100.00
uc010umc.2	10003	39	0.00	0.00	0.00	0.00	0.00
uc010umd.1	10004	31	0.00	0.00	0.00	0.00	0.00
uc021sqn.1	10005	28	0.00	0.00	0.00	0.00	0.00
uc002azx.1	10006	1661	1518.43	2.00	0.02	0.02	100.00
uc002azy.3	10007	969	826.43	2606.83	41.37	52.56	87.50
uc002azz.3	10007	696	553.45	0.00	0.00	0.00	0.00
uc002baa.3	10007	748	605.45	122.20	2.65	3.36	5.60
uc010umf.1	10007	1431	1288.43	320.64	3.26	4.15	6.90
uc002bad.4	10008	1896	1753.43	36.87	0.28	0.35	53.19
uc002bae.4	10008	1820	1677.43	13.41	0.10	0.13	20.22
uc031qst.1	10008	2019	1876.43	19.73	0.14	0.18	26.59
uc021sqo.1	10009	75	0.00	0.00	0.00	0.00	0.00
uc010ope.1	1001	431	288.53	100.57	4.57	5.81	100.00
uc002baf.4	10010	3291	3148.43	2215.90	9.23	11.73	70.19
uc002bag.4	10010	3222	3079.43	112.42	0.48	0.61	3.64
uc002bah.4	10010	3342	3199.43	462.55	1.90	2.41	14.42
uc010bkk.4	10010	2994	2851.43	102.62	0.47	0.60	3.59
uc010umi.2	10010	1565	1422.43	0.00	0.00	0.00	0.00
uc010umj.2	10010	1168	1025.43	17.06	0.22	0.28	1.66
uc010umk.2	10010	1177	1034.43	67.45	0.86	1.09	6.50
uc002bai.3	10011	6697	6554.43	325.68	0.65	0.83	10.02
uc002baj.3	10011	6795	6652.43	1672.16	3.30	4.19	50.70
uc002bak.4	10011	4160	4017.43	84.11	0.27	0.35	4.22
uc010uml.2	10011	6620	6477.43	1125.57	2.28	2.90	35.05
uc002bal.3	10012	3956	3813.43	2134.00	7.34	9.32	100.00
uc002bam.4	10013	519	376.49	112.39	3.92	4.97	100.00
uc002ban.3	10014	1448	1305.43	476.82	4.79	6.09	41.07
uc002bap.3	10014	1937	1794.43	553.99	4.05	5.14	34.71
uc002baq.3	10014	1803	1660.43	228.44	1.80	2.29	15.47
uc002bar.3	10014	1698	1555.43	10.54	0.09	0.11	0.76
uc002bas.3	10014	1503	1360.43	96.70	0.93	1.18	7.99
uc002bat.2	10015	2025	1882.43	17.10	0.12	0.15	0.26
uc010bkl.2	10015	1255	1112.43	3837.90	45.25	57.48	99.74
uc002bau.3	10016	3250	3107.43	77.00	0.33	0.41	100.00
uc002bav.3	10016	2262	2119.43	0.00	0.00	0.00	0.00
uc002baw.3	10017	8305	8162.43	35.98	0.06	0.07	100.00
uc002bax.1	10018	1249	1106.43	10.00	0.12	0.15	100.00
uc002bay.1	10019	3188	3045.43	0.00	0.00	0.00	0.00
uc031qsu.1	10019	3567	3424.43	3.00	0.01	0.01	100.00
uc001dcv.3	1002	2268	2125.43	0.00	0.00	0.00	0.00
uc009wau.3	1002	2394	2251.43	0.00	0.00	0.00	0.00
uc009wav.3	1002	2139	1996.43	0.00	0.00	0.00	0.00
uc021sqq.1	10020	26	0.00	0.00	0.00	0.00	0.00
uc021sqr.1	10021	101	1.89	0.00	0.00	0.00	0.00
uc010umm.1	10022	1184	1041.43	0.00	0.00	0.00	0.00
uc002bba.1	10023	26	0.00	0.00	0.00	0.00	0.00
uc021sqs.1	10024	30	0.00	0.00	0.00	0.00	0.00
uc021sqt.1	10025	29	0.00	0.00	0.00	0.00	0.00
uc002bbb.1	10026	28	0.00	0.00	0.00	0.00	0.00
uc002bbc.2	10027	29	0.00	0.00	0.00	0.00	0.00
uc021squ.1	10028	33	0.00	0.00	0.00	0.00	0.00
uc002bbe.2	10029	31	0.00	0.00	0.00	0.00	0.00
uc001dcw.3	1003	718	575.45	0.00	0.00	0.00	0.00
uc002bbf.1	10030	29	0.00	0.00	0.00	0.00	0.00
uc002bbg.2	10031	3109	2966.43	1749.66	7.74	9.83	86.80
uc002bbh.2	10031	2998	2855.43	190.34	0.87	1.11	9.81
uc002bbi.2	10031	2223	2080.43	17.43	0.11	0.14	1.23
uc010umn.1	10031	2985	2842.43	41.63	0.19	0.24	2.16
uc002bbj.2	10032	1717	1574.43	1314.29	10.95	13.91	48.05
uc002bbk.3	10032	3497	3354.43	2864.87	11.20	14.23	49.16
uc002bbl.3	10032	3343	3200.43	141.23	0.58	0.74	2.54
uc031qsv.1	10032	1533	1390.43	6.01	0.06	0.07	0.25
uc002bbm.1	10033	448	305.52	895.60	38.45	48.84	100.00
uc002bbo.3	10034	2195	2052.43	38.00	0.24	0.31	100.00
uc002bbp.2	10034	360	217.63	0.00	0.00	0.00	0.00
uc010bkm.1	10034	1006	863.43	0.00	0.00	0.00	0.00
uc002bbq.3	10035	2414	2271.43	0.00	0.00	0.00	0.00
uc002bbr.3	10035	2100	1957.43	0.00	0.00	0.00	0.00
uc002bbs.3	10035	1975	1832.43	35.28	0.25	0.32	37.68
uc010bkp.3	10035	1789	1646.43	52.43	0.42	0.53	62.32
uc002bbt.2	10036	1369	1226.43	9324.39	99.72	126.68	89.53
uc010bkq.1	10036	1222	1079.43	959.61	11.66	14.81	10.47
uc021sqv.1	10037	864	721.44	21.00	0.38	0.49	100.00
uc002bbw.1	10038	1836	1693.43	231.49	1.79	2.28	71.48
uc021sqw.1	10038	3397	3254.43	177.53	0.72	0.91	28.52
uc002bbx.3	10039	4874	4731.43	26.70	0.07	0.09	1.42
uc002bby.3	10039	4731	4588.43	751.15	2.15	2.73	41.16
uc002bbz.1	10039	5438	5295.43	58.36	0.14	0.18	2.77
uc002bca.1	10039	3054	2911.43	26.04	0.12	0.15	2.25
uc002bcb.1	10039	2582	2439.43	497.79	2.68	3.40	51.30
uc002bcc.1	10039	1889	1746.43	0.00	0.00	0.00	0.00
uc010bkr.3	10039	2478	2335.43	0.00	0.00	0.00	0.00
uc031qsw.1	10039	3795	3652.43	15.97	0.06	0.07	1.10
uc001dcx.3	1004	3871	3728.43	9.58	0.03	0.04	8.49
uc001dcy.3	1004	1764	1621.43	38.14	0.31	0.39	77.67
uc009waw.3	1004	3046	2903.43	0.00	0.00	0.00	0.00
uc009wax.3	1004	3476	3333.43	13.97	0.05	0.07	13.84
uc021sqx.1	10040	74	0.00	0.00	0.00	0.00	0.00
uc002bcd.3	10041	2213	2070.43	2233.25	14.15	17.97	99.32
uc031qsx.1	10041	2267	2124.43	15.75	0.10	0.12	0.68
