transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
uc001aaa.3	1	1652	1514.02	0.00	0.00	0.00	0.00
uc010nxq.1	1	1488	1350.02	2.25	0.02	0.03	10.79
uc010nxr.1	1	1595	1457.02	20.06	0.17	0.21	89.21
uc021oei.1	10	894	756.02	11.88	0.19	0.24	100.00
uc001ajc.3	100	2248	2110.02	34.00	0.20	0.25	100.00
uc021oon.1	1000	78	0.00	0.00	0.00	0.00	0.00
uc002azu.1	10000	31	0.00	0.00	0.00	0.00	0.00
uc010ulz.1	10001	28	0.00	0.00	0.00	0.00	0.00
uc010uma.2	10002	3449	3311.02	0.00	0.00	0.00	100.00
uc010umc.2	10003	39	0.00	0.00	0.00	0.00	0.00
uc010umd.1	10004	31	0.00	0.00	0.00	0.00	0.00
uc021sqn.1	10005	28	0.00	0.00	0.00	0.00	0.00
uc002azx.1	10006	1661	1523.02	3.00	0.02	0.03	100.00
uc002azy.3	10007	969	831.02	3209.26	47.51	60.20	89.68
uc002azz.3	10007	696	558.04	36.57	0.81	1.02	1.52
uc002baa.3	10007	748	610.03	131.89	2.66	3.37	5.02
uc010umf.1	10007	1431	1293.02	210.14	2.00	2.53	3.77
uc002bad.4	10008	1896	1758.02	32.78	0.23	0.29	60.45
uc002bae.4	10008	1820	1682.02	6.21	0.05	0.06	11.96
uc031qst.1	10008	2019	1881.02	16.01	0.10	0.13	27.59
uc021sqo.1	10009	75	0.00	0.00	0.00	0.00	0.00
uc010ope.1	1001	431	293.10	37.94	1.59	2.02	100.00
uc002baf.4	10010	3291	3153.02	2038.05	7.95	10.08	65.07
uc002bag.4	10010	3222	3084.02	255.94	1.02	1.29	8.35
uc002bah.4	10010	3342	3204.02	401.82	1.54	1.96	12.63
uc010bkk.4	10010	2994	2856.02	55.81	0.24	0.30	1.97
uc010umi.2	10010	1565	1427.02	0.00	0.00	0.00	0.00
uc010umj.2	10010	1168	1030.02	30.15	0.36	0.46	2.95
uc010umk.2	10010	1177	1039.02	93.24	1.10	1.40	9.03
uc002bai.3	10011	6697	6559.02	436.83	0.82	1.04	14.47
uc002baj.3	10011	6795	6657.02	1197.37	2.21	2.80	39.08
uc002bak.4	10011	4160	4022.02	52.99	0.16	0.21	2.86
uc010uml.2	10011	6620	6482.02	1300.02	2.47	3.13	43.58
uc002bal.3	10012	3956	3818.02	2595.00	8.36	10.60	100.00
uc002bam.4	10013	519	381.07	146.38	4.73	5.99	100.00
uc002ban.3	10014	1448	1310.02	842.18	7.91	10.02	56.39
uc002bap.3	10014	1937	1799.02	602.06	4.12	5.22	29.35
uc002baq.3	10014	1803	1665.02	181.76	1.34	1.70	9.57
uc002bar.3	10014	1698	1560.02	11.95	0.09	0.12	0.67
uc002bas.3	10014	1503	1365.02	62.47	0.56	0.71	4.01
uc002bat.2	10015	2025	1887.02	36.83	0.24	0.30	0.42
uc010bkl.2	10015	1255	1117.02	5125.17	56.45	71.53	99.58
uc002bau.3	10016	3250	3112.02	112.00	0.44	0.56	100.00
uc002bav.3	10016	2262	2124.02	0.00	0.00	0.00	0.00
uc002baw.3	10017	8305	8167.02	54.68	0.08	0.10	100.00
uc002bax.1	10018	1249	1111.02	26.01	0.29	0.36	100.00
uc002bay.1	10019	3188	3050.02	3.00	0.01	0.02	100.00
uc031qsu.1	10019	3567	3429.02	0.00	0.00	0.00	0.00
uc001dcv.3	1002	2268	2130.02	0.00	0.00	0.00	0.00
uc009wau.3	1002	2394	2256.02	0.00	0.00	0.00	0.00
uc009wav.3	1002	2139	2001.02	0.00	0.00	0.00	0.00
uc021sqq.1	10020	26	0.00	0.00	0.00	0.00	0.00
uc021sqr.1	10021	101	3.43	0.00	0.00	0.00	0.00
uc010umm.1	10022	1184	1046.02	0.00	0.00	0.00	0.00
uc002bba.1	10023	26	0.00	0.00	0.00	0.00	0.00
uc021sqs.1	10024	30	0.00	0.00	0.00	0.00	0.00
uc021sqt.1	10025	29	0.00	0.00	0.00	0.00	0.00
uc002bbb.1	10026	28	0.00	0.00	0.00	0.00	0.00
uc002bbc.2	10027	29	0.00	0.00	0.00	0.00	0.00
uc021squ.1	10028	33	0.00	0.00	0.00	0.00	0.00
uc002bbe.2	10029	31	0.00	0.00	0.00	0.00	0.00
uc001dcw.3	1003	718	580.03	0.00	0.00	0.00	0.00
uc002bbf.1	10030	29	0.00	0.00	0.00	0.00	0.00
uc002bbg.2	10031	3109	2971.02	1996.94	8.27	10.48	85.80
uc002bbh.2	10031	2998	2860.02	172.00	0.74	0.94	7.68
uc002bbi.2	10031	2223	2085.02	20.21	0.12	0.15	1.24
uc010umn.1	10031	2985	2847.02	117.99	0.51	0.65	5.29
uc002bbj.2	10032	1717	1579.02	1567.37	12.21	15.47	44.11
uc002bbk.3	10032	3497	3359.02	3915.12	14.34	18.17	51.79
uc002bbl.3	10032	3343	3205.02	295.47	1.13	1.44	4.10
uc031qsv.1	10032	1533	1395.02	0.00	0.00	0.00	0.00
uc002bbm.1	10033	448	310.09	1428.03	56.66	71.79	100.00
uc002bbo.3	10034	2195	2057.02	17.00	0.10	0.13	100.00
uc002bbp.2	10034	360	222.21	0.00	0.00	0.00	0.00
uc010bkm.1	10034	1006	868.02	0.00	0.00	0.00	0.00
uc002bbq.3	10035	2414	2276.02	4.22	0.02	0.03	6.12
uc002bbr.3	10035	2100	1962.02	0.00	0.00	0.00	0.00
uc002bbs.3	10035	1975	1837.02	17.11	0.11	0.15	30.80
uc010bkp.3	10035	1789	1651.02	31.51	0.23	0.30	63.08
uc002bbt.2	10036	1369	1231.02	12857.15	128.50	162.82	90.93
uc010bkq.1	10036	1222	1084.02	1129.85	12.82	16.25	9.07
uc021sqv.1	10037	864	726.03	11.00	0.19	0.24	100.00
uc002bbw.1	10038	1836	1698.02	227.70	1.65	2.09	78.27
uc021sqw.1	10038	3397	3259.02	121.31	0.46	0.58	21.73
uc002bbx.3	10039	4874	4736.02	17.20	0.04	0.06	0.76
uc002bby.3	10039	4731	4593.02	681.01	1.82	2.31	30.94
uc002bbz.1	10039	5438	5300.02	36.21	0.08	0.11	1.43
uc002bca.1	10039	3054	2916.02	49.83	0.21	0.27	3.57
uc002bcb.1	10039	2582	2444.02	513.04	2.58	3.27	43.81
uc002bcc.1	10039	1889	1751.02	126.42	0.89	1.13	15.07
uc010bkr.3	10039	2478	2340.02	43.40	0.23	0.29	3.87
uc031qsw.1	10039	3795	3657.02	9.89	0.03	0.04	0.56
uc001dcx.3	1004	3871	3733.02	3.85	0.01	0.02	3.52
uc001dcy.3	1004	1764	1626.02	37.56	0.28	0.36	78.95
uc009waw.3	1004	3046	2908.02	0.00	0.00	0.00	0.00
uc009wax.3	1004	3476	3338.02	17.12	0.06	0.08	17.53
uc021sqx.1	10040	74	0.00	0.00	0.00	0.00	0.00
uc002bcd.3	10041	2213	2075.02	2157.30	12.79	16.21	99.43
uc031qsx.1	10041	2267	2129.02	12.70	0.07	0.09	0.57
uc002bcf.2	10042	1870	1732.02	391.41	2.78	3.52	77.32
uc002bci.1	10042	573	435.05	0.00	0.00	0.00	0.00
uc010bkt.1	10042	1744	1606.02	38.82	0.30	0.38	8.27
uc010bku.1	10042	2074	1936.02	0.00	0.00	0.00	0.00
uc010bkv.1	10042	991	853.02	4.17	0.06	0.08	1.67
uc010bkw.1	10042	1517	1379.02	26.58	0.24	0.30	6.59
uc010umo.1	10042	1809	1671.02	30.03	0.22	0.28	6.15
uc002bcj.3	10043	3871	3733.02	8724.80	28.75	36.43	99.90
uc002bck.3	10043	3796	3658.02	8.20	0.03	0.03	0.10
uc010ump.2	10043	3679	3541.02	0.00	0.00	0.00	0.00
uc002bcn.2	10044	6748	6610.02	712.22	1.33	1.68	51.65
uc021sqy.1	10044	11834	11696.02	1161.39	1.22	1.55	47.60
uc021sqz.1	10044	1933	1795.02	2.78	0.02	0.02	0.74
uc002bcp.4	10045	1497	1359.02	1.00	0.01	0.01	100.00
uc002bcq.1	10046	971	833.02	14.88	0.22	0.28	1.58
uc002bcr.3	10046	3898	3760.02	556.64	1.82	2.31	13.10
uc002bcs.3	10046	3792	3654.02	3447.08	11.61	14.71	83.45
